Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
Heuristic 1 Only,p=0.5,0,4.0,0,0
Heuristic 1 Only,p=0.5,1,4.0,0,0
Heuristic 1 Only,p=0.5,2,4.0,0,0
Heuristic 1 Only,p=0.5,3,4.0,0,0
Heuristic 1 Only,p=0.5,4,4.0,0,0
Heuristic 1 Only,p=0.5,5,8.0,0,0
Heuristic 1 Only,p=0.5,6,12.0,0.0,0
Heuristic 1 Only,p=0.5,7,16.0,100.0,2.0
Heuristic 1 Only,p=0.5,8,20.0,50.0,10.0
Heuristic 1 Only,p=0.5,9,24.0,50.0,10.0
Heuristic 1 Only,p=0.5,10,28.000000000000004,66.66666666666666,5.5
Heuristic 1 Only,p=0.5,11,32.0,66.66666666666666,5.5
Heuristic 1 Only,p=0.5,12,36.0,66.66666666666666,5.5
Heuristic 1 Only,p=0.5,13,40.0,66.66666666666666,5.5
Heuristic 1 Only,p=0.5,14,44.0,66.66666666666666,5.5
Heuristic 1 Only,p=0.5,15,48.0,66.66666666666666,5.5
Heuristic 1 Only,p=0.5,16,52.0,100.0,3.6666666666666665
Heuristic 1 Only,p=0.5,17,56.00000000000001,66.66666666666666,7.0
Heuristic 1 Only,p=0.5,18,60.0,75.0,5.0
Heuristic 1 Only,p=0.5,19,64.0,75.0,5.0
Heuristic 1 Only,p=0.5,20,68.0,50.0,8.0
Heuristic 1 Only,p=0.5,21,72.0,75.0,5.333333333333333
Heuristic 1 Only,p=0.5,22,76.0,100.0,4.0
Heuristic 1 Only,p=0.5,23,80.0,100.0,4.0
Heuristic 2 Only,p=0.5,0,8.0,0.0,0
Heuristic 2 Only,p=0.5,1,12.0,0.0,0
Heuristic 2 Only,p=0.5,2,16.0,0.0,0
Heuristic 2 Only,p=0.5,3,20.0,0.0,0
Heuristic 2 Only,p=0.5,4,24.0,0.0,0
Heuristic 2 Only,p=0.5,5,28.000000000000004,0.0,0
Heuristic 2 Only,p=0.5,6,32.0,0.0,0
Heuristic 2 Only,p=0.5,7,36.0,0.0,0
