Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
Heuristic 3 Only,p=0,0,4.0,0.0,0
Heuristic 3 Only,p=0,1,8.0,0.0,0
Heuristic 3 Only,p=0,2,12.0,0.0,0
Heuristic 3 Only,p=0,3,16.0,0.0,0
Heuristic 3 Only,p=0,4,16.0,0.0,0
Heuristic 3 Only,p=0,5,16.0,0.0,0
Heuristic 3 Only,p=0,6,16.0,50.0,5.0
Heuristic 3 Only,p=0,7,20.0,50.0,5.0
Heuristic 3 Only,p=0,8,24.0,0.0,0
Heuristic 3 Only,p=0,9,24.0,0.0,0
Heuristic 3 Only,p=0,10,28.000000000000004,33.33333333333333,7.0
Heuristic 3 Only,p=0,11,32.0,33.33333333333333,7.0
Heuristic 3 Only,p=0,12,32.0,0.0,0
Heuristic 3 Only,p=0,13,32.0,33.33333333333333,7.0
Heuristic 3 Only,p=0,14,36.0,0.0,0
Heuristic 3 Only,p=0,15,40.0,75.0,2.3333333333333335
Heuristic 3 Only,p=0,16,40.0,50.0,4.0
Heuristic 3 Only,p=0,17,40.0,50.0,4.0
Heuristic 3 Only,p=0,18,40.0,75.0,2.3333333333333335
Heuristic 3 Only,p=0,19,40.0,66.66666666666666,2.0
Heuristic 3 Only,p=0,20,40.0,66.66666666666666,2.0
Heuristic 3 Only,p=0,21,40.0,66.66666666666666,2.0
Heuristic 3 Only,p=0,22,44.0,100.0,1.3333333333333333
Heuristic 3 Only,p=0,23,48.0,100.0,1.25
Heuristic 3 Only,p=0.5,0,0.0,0,0
Heuristic 3 Only,p=0.5,1,0.0,0,0
Heuristic 3 Only,p=0.5,2,0.0,0.0,0
Heuristic 3 Only,p=0.5,3,0.0,0.0,0
Heuristic 3 Only,p=0.5,4,0.0,0.0,0
Heuristic 3 Only,p=0.5,5,0.0,0.0,0
Heuristic 3 Only,p=0.5,6,4.0,0.0,0
Heuristic 3 Only,p=0.5,7,8.0,50.0,3.0
Heuristic 3 Only,p=0.5,8,12.0,33.33333333333333,5.0
Heuristic 3 Only,p=0.5,9,12.0,33.33333333333333,5.0
Heuristic 3 Only,p=0.5,10,12.0,66.66666666666666,2.0
Heuristic 3 Only,p=0.5,11,16.0,66.66666666666666,2.0
Heuristic 3 Only,p=0.5,12,16.0,100.0,1.0
Heuristic 3 Only,p=0.5,13,16.0,100.0,1.0
Heuristic 3 Only,p=0.5,14,16.0,100.0,1.0
Heuristic 3 Only,p=0.5,15,20.0,75.0,2.3333333333333335
Heuristic 3 Only,p=0.5,16,24.0,75.0,2.3333333333333335
Heuristic 3 Only,p=0.5,17,28.000000000000004,75.0,2.3333333333333335
Heuristic 3 Only,p=0.5,18,32.0,50.0,4.0
Heuristic 3 Only,p=0.5,19,36.0,75.0,2.6666666666666665
Heuristic 3 Only,p=0.5,20,40.0,100.0,2.0
Heuristic 3 Only,p=0.5,21,44.0,100.0,2.0
Heuristic 3 Only,p=0.5,22,48.0,100.0,2.0
Heuristic 3 Only,p=0.5,23,52.0,100.0,2.0
Heuristic 3 Only,p=1,0,4.0,0.0,0
Heuristic 3 Only,p=1,1,8.0,0.0,0
Heuristic 3 Only,p=1,2,12.0,0.0,0
Heuristic 3 Only,p=1,3,16.0,0.0,0
Heuristic 3 Only,p=1,4,16.0,66.66666666666666,3.5
Heuristic 3 Only,p=1,5,20.0,66.66666666666666,3.5
Heuristic 3 Only,p=1,6,20.0,66.66666666666666,3.5
Heuristic 3 Only,p=1,7,20.0,100.0,1.6666666666666667
Heuristic 3 Only,p=1,8,20.0,100.0,1.25
Heuristic 3 Only,p=1,9,24.0,75.0,3.0
Heuristic 3 Only,p=1,10,28.000000000000004,75.0,2.3333333333333335
Heuristic 3 Only,p=1,11,32.0,100.0,1.75
Heuristic 3 Only,p=1,12,32.0,100.0,1.75
Heuristic 3 Only,p=1,13,32.0,100.0,1.75
Heuristic 3 Only,p=1,14,36.0,100.0,1.75
Heuristic 3 Only,p=1,15,40.0,75.0,3.3333333333333335
Heuristic 3 Only,p=1,16,44.0,75.0,3.3333333333333335
Heuristic 3 Only,p=1,17,44.0,100.0,1.75
Heuristic 3 Only,p=1,18,48.0,100.0,1.75
Heuristic 3 Only,p=1,19,48.0,100.0,1.75
Heuristic 3 Only,p=1,20,48.0,100.0,1.75
Heuristic 3 Only,p=1,21,52.0,100.0,1.75
Heuristic 3 Only,p=1,22,52.0,100.0,1.75
Heuristic 3 Only,p=1,23,56.00000000000001,100.0,1.75
