Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
Heuristic 1 Only,p=0,0,0.0,0,0
Heuristic 1 Only,p=0,1,0.0,0.0,0
Heuristic 1 Only,p=0,2,0.0,0.0,0
Heuristic 1 Only,p=0,3,0.0,0.0,0
Heuristic 1 Only,p=0,4,4.0,50.0,5.0
Heuristic 1 Only,p=0,5,4.0,50.0,5.0
Heuristic 1 Only,p=0,6,4.0,0.0,0
Heuristic 1 Only,p=0,7,4.0,0.0,0
Heuristic 1 Only,p=0,8,4.0,50.0,5.0
Heuristic 1 Only,p=0,9,4.0,50.0,5.0
Heuristic 1 Only,p=0,10,4.0,50.0,5.0
Heuristic 1 Only,p=0,11,4.0,50.0,5.0
Heuristic 1 Only,p=0,12,4.0,50.0,5.0
Heuristic 1 Only,p=0,13,4.0,50.0,5.0
Heuristic 1 Only,p=0,14,8.0,0.0,0
Heuristic 1 Only,p=0,15,12.0,0.0,0
Heuristic 1 Only,p=0,16,16.0,66.66666666666666,3.5
Heuristic 1 Only,p=0,17,16.0,66.66666666666666,3.5
Heuristic 1 Only,p=0,18,16.0,66.66666666666666,3.5
Heuristic 1 Only,p=0,19,16.0,66.66666666666666,3.5
Heuristic 1 Only,p=0,20,20.0,100.0,2.3333333333333335
Heuristic 1 Only,p=0,21,20.0,100.0,2.3333333333333335
Heuristic 1 Only,p=0,22,24.0,100.0,2.0
Heuristic 1 Only,p=0,23,28.000000000000004,100.0,2.0
Heuristic 1 Only,p=0.5,0,0.0,0.0,0
Heuristic 1 Only,p=0.5,1,0.0,0.0,0
Heuristic 1 Only,p=0.5,2,0.0,0.0,0
Heuristic 1 Only,p=0.5,3,4.0,100.0,1.0
Heuristic 1 Only,p=0.5,4,8.0,50.0,3.0
Heuristic 1 Only,p=0.5,5,8.0,100.0,1.0
Heuristic 1 Only,p=0.5,6,8.0,100.0,1.0
Heuristic 1 Only,p=0.5,7,12.0,50.0,3.0
Heuristic 1 Only,p=0.5,8,16.0,66.66666666666666,2.0
Heuristic 1 Only,p=0.5,9,16.0,100.0,1.0
Heuristic 1 Only,p=0.5,10,20.0,75.0,3.6666666666666665
Heuristic 1 Only,p=0.5,11,20.0,75.0,2.3333333333333335
Heuristic 1 Only,p=0.5,12,24.0,75.0,2.3333333333333335
Heuristic 1 Only,p=0.5,13,28.000000000000004,75.0,2.3333333333333335
Heuristic 1 Only,p=0.5,14,28.000000000000004,75.0,2.3333333333333335
Heuristic 1 Only,p=0.5,15,28.000000000000004,75.0,2.3333333333333335
Heuristic 1 Only,p=0.5,16,28.000000000000004,75.0,2.3333333333333335
Heuristic 1 Only,p=0.5,17,32.0,75.0,2.3333333333333335
Heuristic 1 Only,p=0.5,18,32.0,100.0,1.0
Heuristic 1 Only,p=0.5,19,32.0,100.0,1.0
Heuristic 1 Only,p=0.5,20,36.0,75.0,1.6666666666666667
Heuristic 1 Only,p=0.5,21,36.0,100.0,1.0
Heuristic 1 Only,p=0.5,22,40.0,100.0,1.0
Heuristic 1 Only,p=0.5,23,40.0,100.0,1.0
Heuristic 1 Only,p=1,0,0.0,0.0,0
Heuristic 1 Only,p=1,1,0.0,0.0,0
Heuristic 1 Only,p=1,2,0.0,0.0,0
Heuristic 1 Only,p=1,3,4.0,100.0,4.0
Heuristic 1 Only,p=1,4,8.0,100.0,2.5
Heuristic 1 Only,p=1,5,8.0,100.0,2.5
Heuristic 1 Only,p=1,6,8.0,100.0,2.5
Heuristic 1 Only,p=1,7,8.0,100.0,2.5
Heuristic 1 Only,p=1,8,12.0,66.66666666666666,3.5
Heuristic 1 Only,p=1,9,16.0,100.0,2.3333333333333335
Heuristic 1 Only,p=1,10,20.0,75.0,4.333333333333333
Heuristic 1 Only,p=1,11,24.0,75.0,4.333333333333333
Heuristic 1 Only,p=1,12,28.000000000000004,75.0,4.333333333333333
Heuristic 1 Only,p=1,13,28.000000000000004,50.0,5.5
Heuristic 1 Only,p=1,14,32.0,100.0,2.5
Heuristic 1 Only,p=1,15,36.0,100.0,2.5
Heuristic 1 Only,p=1,16,40.0,100.0,2.75
Heuristic 1 Only,p=1,17,44.0,75.0,4.666666666666667
Heuristic 1 Only,p=1,18,44.0,100.0,2.75
Heuristic 1 Only,p=1,19,44.0,100.0,2.75
Heuristic 1 Only,p=1,20,44.0,100.0,2.75
Heuristic 1 Only,p=1,21,44.0,100.0,2.75
Heuristic 1 Only,p=1,22,48.0,100.0,2.75
Heuristic 1 Only,p=1,23,52.0,100.0,2.75
